series_played,pid,batAGR,batRI,bowlAGR,bowlRI,clusterRI
32,3.0,32.794977038253435,0.081171459826521,-134.29638987607441,-0.3390805299663713,0
2,6.0,-37.27586206896552,-0.1236842105263158,-78.29075495474855,-0.27288844876054186,0
16,9.0,-21.938038482132036,-0.05544546115213639,-143.0656446853456,-0.47900678194429885,2
2,12.0,0.0,0.0,-653.0231495583307,-1.6358964380551233,1
1,13.0,0.0,0.0,5.835722160970231,0.018876733762257455,0
76,15.0,-8.566277219035577,-0.02087745284738045,-9.135865139056586,-0.036866924621770734,0
49,18.0,-58.95291107006406,-0.179638993050272,-432.6312748291689,-1.4506835031359204,1
3,21.0,-44.97142857142857,-0.1569292123629113,0.0,0.0,0
2,22.0,5.227272727272734,0.018744906275468647,0.0,0.0,0
34,23.0,-58.86497911943682,-0.17414970863633034,-446.4949319500103,-1.3779135324719454,1
2,24.0,5.151515151515142,0.013066871637202129,0.0,0.0,0
15,28.0,-87.33700874713993,-0.17984867166638643,3.2003061853400836,0.006821725914400324,0
118,29.0,-62.5515605484076,-0.18786635891886655,-822.1292346908441,-2.600603254965215,4
4,31.0,-8.52262443438914,-0.03216664269275028,-184.14565826330528,-0.6466797166968052,2
2,32.0,-38.952380952380956,-0.09749702026221692,-606.5428571428573,-1.6267432950191574,1
5,37.0,-3.493333333333333,-0.014886363636363633,0.0,0.0,0
23,38.0,-21.644554566557535,-0.06521393358760731,-22.328524231895443,-0.07450367033898378,0
3,42.0,-25.61290322580645,-0.11278409090909088,-82.92212111490552,-0.3484523891645095,0
2,58.0,-32.5,-0.08666666666666667,-535.1629462713894,-1.5410451332422208,1
6,59.0,-8.170028011204481,-0.02844388236804737,-149.92061820787129,-0.5993783181931325,2
1,60.0,0.0,0.0,-130.5134281200632,-0.4736374407582939,2
31,63.0,-18.27933554899587,-0.024492327872403345,-260.4531049012334,-0.791409461831593,2
3,64.0,11.399999999999986,0.03860045146726858,0.0,0.0,0
22,65.0,-70.81221361775775,-0.18414557680437119,-1021.3368760431472,-2.8482652056228304,4
1,68.0,-10.137931034482756,-0.03363844393592677,0.0,0.0,0
21,69.0,-57.66984154365559,-0.1533627098643898,-0.4323271665043818,-0.001218776663598884,0
1,71.0,4.0,0.013164556962025318,0.0,0.0,0
11,77.0,-39.47617931525306,-0.10192211613783148,-190.54619336016367,-0.5739943884928033,2
11,78.0,-81.4046376833631,-0.22686989735539195,-268.75117169913835,-0.9423298439949441,2
8,79.0,-21.41330493946213,-0.06723791371773521,-247.32351775648868,-0.752072188845949,2
70,81.0,12.03325850690768,0.04732877416221955,-9.872404315329655,-0.03639446701317672,0
2,88.0,-40.206896551724135,-0.11789686552072802,0.0,0.0,0
3,92.0,-12.176470588235297,-0.03160305343511451,-233.3349340377691,-0.7764783016724878,2
2,94.0,-4.708333333333333,-0.017707443015440326,0.0,0.0,0
13,95.0,-37.22277434749453,-0.09240568497910795,-162.19814305689732,-0.42856263083607354,2
1,96.0,-23.885245901639344,-0.07491002570694087,-149.93527125232384,-0.4885711296149442,2
25,100.0,-12.991927852808828,-0.02170941975071331,0.03930006480881396,0.00011568850246750427,0
8,101.0,-40.66919975186104,-0.1070723498152938,0.0,0.0,0
6,102.0,-66.25735294117646,-0.20223140495867767,0.0,0.0,0
15,107.0,-74.9277130348995,-0.22036922447103188,-229.50965138275083,-0.7321855290013244,2
11,108.0,-31.79096295409659,-0.10074382986623047,-141.33096675981264,-0.4247364359118409,2
130,109.0,-16.942463258641098,-0.032382798714178984,-17.208118744705605,-0.04288992577780474,0
4,110.0,44.56798029556651,0.1279796511627907,0.0,0.0,0
13,120.0,-6.812087912087912,-0.010426338501628912,-315.84466459355696,-0.9513209334898243,2
1,124.0,0.0,0.0,2.381694255111972,0.006714251619736177,0
16,129.0,-76.80404974489798,-0.1945352234597928,-783.3696612214894,-2.1428418106677083,1
24,135.0,-26.314953239360264,-0.07789222282862875,0.0,0.0,0
5,161.0,-57.18758620689655,-0.19308372753531708,-260.38953574378513,-0.9339264958173388,2
1,168.0,0.0,0.0,-424.91755800559486,-1.1232139750147894,2
18,169.0,-95.99439655172415,-0.30461165822730535,-952.7451409580369,-2.91348161450511,4
1,170.0,0.0,0.0,56.1450298750679,0.1768038029655742,0
5,173.0,-31.511420059582925,-0.1139856044252886,0.0,0.0,0
27,181.0,-39.6122764597675,-0.0896613246131583,-426.61806010702605,-1.0822349786090137,2
17,185.0,-37.05349972478637,-0.09544464741403579,-1273.3771099536784,-3.515283563953419,4
6,190.0,-53.492447438252704,-0.2432571616744279,0.0,0.0,0
3,192.0,-54.349376114082,-0.14452495974235105,0.0,0.0,0
7,205.0,-69.47186147186147,-0.14618454547198503,0.0,0.0,0
12,209.0,20.742472342472364,0.046801516718435986,-122.36913836489454,-0.37455186581681316,0
21,212.0,-17.47977748284064,-0.0480454513344578,-576.4601992825783,-1.7025861478504978,1
5,218.0,-48.506359447004606,-0.15660558370878125,0.0,0.0,0
10,221.0,-43.14106832298136,-0.11350754420571314,-259.6913671888884,-0.8418809042797541,2
2,222.0,-23.833333333333336,-0.08854489164086687,-264.8724019994738,-1.020921463809535,2
8,226.0,-53.7690921309873,-0.1647932756946457,-194.7673166188496,-0.5911127351100666,2
12,227.0,-72.28960980775499,-0.20975142206632658,-283.97046087473467,-0.8655995465503734,2
2,230.0,-26.314285714285717,-0.09182452642073778,0.0,0.0,0
3,233.0,-20.32168458781362,-0.06217415418746533,0.0,0.0,0
6,237.0,28.742647058823533,0.08033057851239672,0.0,0.0,0
3,256.0,-3.288627450980387,-0.0006566647213936683,-107.27446540880503,-0.3996813167243109,0
4,261.0,-6.244318181818185,-0.02233016067062523,-22.528581442125997,-0.08238929710434961,0
5,278.0,-44.93337979094076,-0.121344366129343,-531.7717272888233,-1.4547719920484081,1
11,279.0,-68.808991008991,-0.2108426121931752,-589.1099726017936,-1.9122617726464881,1
39,280.0,-27.59368325515273,-0.08752468530245508,-607.4483755199811,-1.7815567308617137,1
2,282.0,-79.90476190476191,-0.2,-149.11428571428567,-0.3999233716475096,0
36,289.0,-38.657038316241184,-0.0884778117044768,-17.5188172924386,-0.039539838073397136,0
3,292.0,22.500000000000004,0.07438016528925621,-406.7014990006662,-1.4133848792377626,1
1,307.0,11.0,0.03922967189728959,-448.22188679245284,-1.6699772235188255,1
12,317.0,-28.67043478260869,-0.08274315391879132,-217.29352766734988,-0.6843078016754038,2
4,319.0,-21.791397849462363,-0.07813264120875504,0.0,0.0,0
20,320.0,-69.16642422477135,-0.1756683600336255,-220.97353909971625,-0.6841111926191924,2
2,334.0,-48.206896551724135,-0.14135490394337716,-306.73365546526094,-0.9742909100210916,2
4,343.0,-15.696470588235293,-0.06001959867663983,-396.3529350104822,-1.46144978504237,1
9,348.0,4.990701484895039,0.00854068539539577,-154.20478881053103,-0.4623674522826096,2
3,349.0,6.738039215686275,0.0165746714650067,-61.387947070008344,-0.345010385812573,0
3,357.0,-62.64516129032259,-0.17622504537205086,0.0,0.0,0
2,358.0,0.0,0.0,-234.10542067999862,-0.7871053119084602,2
3,359.0,-69.63636363636363,-0.17174887892376678,0.0,0.0,0
2,363.0,-27.65714285714286,-0.09651046859421736,-224.76157635467976,-0.8495307961569971,2
5,373.0,0.0,0.0,-621.475071477617,-1.5786574971897722,1
2,374.0,9.183673469387749,0.021961932650073197,-464.88909679010203,-1.1645994755989264,2
4,389.0,-79.49193548387096,-0.19955431423817446,-413.9787554100546,-1.2926738947756637,2
4,390.0,0.0,0.0,-464.99769907208014,-1.5489628268464324,1
13,392.0,8.39383604900846,0.014786394415529406,-1073.0063000436244,-2.7949596968952433,4
10,393.0,-22.9727619047619,-0.0752522861311037,0.0,0.0,0
22,394.0,42.14875624375625,0.1473884132756424,-137.47717533055655,-0.5152090400476775,2
1,395.0,11.142857142857142,0.033913043478260865,0.0,0.0,0
8,396.0,-94.38559322033899,-0.24075875486381323,-552.9807791641616,-1.5302844046804143,1
7,405.0,-9.048979591836732,-0.022186624988871244,0.0,0.0,0
2,409.0,0.0,0.0,-399.699820981024,-1.005405093843438,2
6,418.0,-284.4444444444445,-0.5978980147917478,-1389.1397114535996,-3.006554886512802,4
4,419.0,-1.843749999999999,-0.009835737179487174,-233.25775028716996,-0.7641582367443315,2
4,422.0,-64.65573770491804,-0.20277634961439592,0.0,0.0,0
19,425.0,-121.4895754400398,-0.32825294316120107,-777.6698385940203,-2.172274555623894,1
1,426.0,-19.535211267605632,-0.09071288423806408,15.527559055118113,0.07525301658111849,0
19,427.0,-75.41741645562574,-0.19355115553671243,-165.59643716362578,-0.47944543844770166,2
2,428.0,-22.77904040404041,-0.07906786690085871,0.0,0.0,0
5,429.0,-120.825,-0.24606147809025508,-361.9342817363575,-0.8654150410351896,2
4,430.0,-9.22,-0.024626068376068375,-179.94224610660228,-0.49238976287524977,2
2,431.0,-22.5625,-0.04176804011336386,-527.8420990952635,-1.1386866249503356,2
44,432.0,-18.65660493336768,-0.0569342828388818,-225.97402317407077,-0.5696995408960175,2
7,433.0,-4.693877551020408,-0.014285714285714282,-521.9520870024459,-1.470342156719671,1
4,439.0,-32.16734279918864,-0.0937046482785124,0.0,0.0,0
104,443.0,-58.03724004884404,-0.14880519367229283,-717.2013331123318,-1.9962866803196477,1
20,447.0,-8.500445580801804,-0.048500991192839904,0.3643906919779548,0.0009370046365147408,0
7,450.0,-50.779365079365085,-0.12370472481153126,-374.7981464562845,-0.9671151679411791,2
1,454.0,5.0,0.01200873362445415,-198.51313131313128,-0.4940372046254399,2
14,458.0,-29.706959706959708,-0.10904201680672268,-1473.7302036545818,-4.259562454132348,3
5,462.0,0.0,0.0,-778.4141684836609,-2.020357475163032,1
7,464.0,-51.13150183150184,-0.1408599307533735,-397.7346612809087,-1.029010003043276,2
7,468.0,-3.901198574667968,-0.006743910213457224,0.0,0.0,0
35,477.0,-66.33481510512836,-0.16847041452376918,0.0,0.0,0
4,487.0,-91.72222222222223,-0.19279875437913585,0.0,0.0,0
2,489.0,1.0476190476190441,0.0026221692491060693,0.0,0.0,0
2,493.0,76.74193548387099,0.3299583911234397,0.0,0.0,0
10,494.0,-97.52408163265304,-0.2590902348137715,-542.9799332172989,-1.5429479624408562,1
4,495.0,-2.167342799188642,0.011980278442538517,0.0,0.0,0
4,497.0,11.701935483870965,0.04411015767053604,-131.63584905660377,-0.4904465315074656,2
27,503.0,-34.70480309063135,-0.103817983854729,-211.3350366247705,-0.7686144138725781,2
6,508.0,-40.13681027966742,-0.08947941111432578,-163.4836267043031,-0.39404891007297715,0
9,509.0,-65.67774146695714,-0.18764597526709664,-575.0153603563905,-1.8033173862351444,1
2,515.0,-24.27586206896552,-0.08054919908466819,0.0,0.0,0
14,520.0,6.597880061115355,0.008845877265127828,0.1216742375081118,0.00033474362965966564,0
8,523.0,-3.512931034482759,-0.010799101412066752,-274.61623934402354,-0.5479670681813372,2
10,530.0,-17.165952210843848,-0.058188863474066654,0.0,0.0,0
7,547.0,-6.046998999822398,-0.0031285069168337167,0.0,0.0,0
36,549.0,-10.549925521628383,-0.023402052775227646,1.4689077197404248,0.00556452041171604,0
33,550.0,-13.283902130980652,-0.03143442568333621,-503.4471379415561,-1.2565638225560831,2
12,556.0,-23.67328431372549,-0.06966910574881399,-787.0941760713253,-2.380619418113295,1
9,559.0,-64.3959687578735,-0.15089829495892168,0.0,0.0,0
1,566.0,-15.195652173913047,-0.04198198198198199,0.0,0.0,0
2,567.0,4.0,0.010146341463414634,-101.2737819025522,-0.26650995237513736,0
1,569.0,16.461538461538467,0.059776536312849175,0.0,0.0,0
3,574.0,-15.5,-0.0512396694214876,0.0,0.0,0
8,582.0,-14.546870748299321,-0.03937863828106282,-38.884924423229926,-0.12374975947986892,0
9,590.0,-34.15448275862069,-0.09614642586788931,-251.3882069948725,-0.8188550952231863,2
27,593.0,-10.561957128530421,-0.03601774754992412,-113.59943087009096,-0.31061564407278786,0
49,595.0,-16.280956749395052,-0.03160515561854455,-5.4911372539235375,-0.020458637194534227,0
5,601.0,-37.543225806451616,-0.1323318816667345,-379.0700013396654,-1.6214219669844645,1
3,610.0,-92.14814814814814,-0.19369404437524326,-738.7986314760506,-1.5990030500884462,1
17,625.0,-62.67618330090657,-0.1587471431900903,-413.47088467051555,-1.2064626426165106,2
21,627.0,-46.56710871179562,-0.10871068944443049,-98.23412307678663,-0.2987280622470972,0
5,629.0,-24.1,-0.03834488772618271,0.0,0.0,0
23,634.0,-26.432185955980547,-0.04198021644652688,0.0,0.0,0
8,643.0,-24.509999999999998,-0.06774461028192372,-865.6444769366833,-2.6935569898985343,4
2,644.0,-31.391304347826093,-0.08672672672672674,-575.9741480611045,-1.6715968965811234,1
23,645.0,-35.884809779621946,-0.11406962341330129,0.0,0.0,0
29,648.0,51.49682430490405,0.12173030262765183,0.0,0.0,0
4,656.0,1.6663286004056808,0.016560169091830154,-220.39759422614273,-0.7681382262117729,2
25,679.0,-22.05444633388647,-0.06594122621944612,-27.454812968306268,-0.09142829567700396,0
3,681.0,-6.901960784313726,-0.03333333333333334,-510.8743240021374,-2.1293907219768684,1
9,682.0,-5.151520737327186,-0.021357348613703957,-547.8727051734473,-1.6139798580979798,1
5,684.0,-44.30190476190476,-0.11797781047227651,-393.810256401299,-1.0909899084839867,2
17,707.0,-107.743451863504,-0.2728337630245919,-725.0921713801654,-1.9973327315618543,1
35,708.0,-17.319108194481135,-0.05214799896481678,-553.4059586606908,-1.6897876962226148,1
5,717.0,-27.15451003895714,-0.039444384751938705,0.0,0.0,0
1,726.0,-16.705882352941178,-0.08068181818181817,0.0,0.0,0
7,728.0,-53.07887700534759,-0.12842757797960516,21.243631717639545,0.07556344345805498,0
45,734.0,15.506880118162627,0.03930843793091344,0.0,0.0,0
1,740.0,-40.63636363636364,-0.0975982532751092,0.0,0.0,0
6,749.0,-58.91538461538462,-0.13014251178821898,-256.2659665648529,-0.723827814020395,2
1,752.0,0.0,0.0,-144.88078817733987,-0.5476055708646755,2
17,758.0,34.943152427436395,0.09355573639585504,-121.93022896458987,-0.33572509252860605,0
4,770.0,-51.72704402515723,-0.14697580645161287,-21.08472352620199,-0.031728663783194805,0
3,777.0,-92.86666666666666,-0.2817936614969656,-1593.331788059849,-5.017489885422899,3
1,778.0,0.0,0.0,-155.6463154082926,-0.4901388518805575,2
13,781.0,-132.93139717425433,-0.3504256536188225,-895.9063987266252,-2.581211301489699,4
45,791.0,31.35923951240115,0.11296686862650314,-508.5977520882416,-1.5170687604350452,1
15,801.0,-1.043890958407089,0.0124065265630151,0.0,0.0,0
6,804.0,-21.655193193902875,-0.06351895479172617,-111.66059657657941,-0.29017579115627884,0
1,805.0,-19.705882352941178,-0.09517045454545454,-182.83660130718957,-0.9836146272855132,2
10,809.0,0.33777056277056783,0.005631870852728536,0.0,0.0,0
6,810.0,-21.183068783068776,-0.06181464356603014,0.0,0.0,0
9,823.0,-21.628803716608594,-0.06104102444715603,0.0,0.0,0
5,835.0,-184.18181818181813,-0.4893719806763285,-1252.2392189251373,-3.445093307588956,4
