series_code,match_code,team,pid,name,notout,runs,ballfaced,fours,sixes,overs,maiden_overs,runs_given,wickets_taken
2364,15146,Vidarbha,574,S Badrinath,0,0,11,0,0,0.0,0,0,0
2364,15146,Vidarbha,1596,Faiz Fazal,0,15,22,1,1,0.0,0,0,0
2364,15146,Vidarbha,2215,Ganesh Satish,0,5,7,1,0,0.0,0,0,0
2364,15146,Vidarbha,6286,Shrikant Wagh,0,0,1,0,0,10.0,0,47,0
2364,15146,Vidarbha,8949,Akshay Wakhare,0,0,2,0,0,10.0,1,41,1
2364,15146,Vidarbha,9002,Ravikumar Thakur,0,2,2,0,0,10.0,0,44,3
2364,15146,Vidarbha,9257,Ravi Jangid,0,97,105,9,1,9.0,0,34,2
2364,15146,Vidarbha,10629,Aditya Shanware,0,3,6,0,0,0.0,0,0,0
2364,15146,Vidarbha,10885,Akshay Karnewar,0,72,85,6,1,8.0,0,38,2
2364,15146,Vidarbha,10887,Rajneesh Gurbani,0,0,5,0,0,3.0,0,17,0
2364,15146,Vidarbha,10888,Akshay Wadkar,0,15,38,1,0,0.0,0,0,0
2364,15168,Vidarbha,574,S Badrinath,0,47,83,5,0,0.0,0,0,0
2364,15168,Vidarbha,1596,Faiz Fazal,0,89,117,12,0,0.0,0,0,0
2364,15168,Vidarbha,2215,Ganesh Satish,0,21,33,3,0,0.0,0,0,0
2364,15168,Vidarbha,6286,Shrikant Wagh,1,0,0,0,0,7.0,1,25,1
2364,15168,Vidarbha,8949,Akshay Wakhare,1,0,0,0,0,6.0,1,22,1
2364,15168,Vidarbha,9002,Ravikumar Thakur,1,0,0,0,0,8.0,1,27,4
2364,15168,Vidarbha,9257,Ravi Jangid,1,0,0,0,0,8.0,0,15,2
2364,15168,Vidarbha,10214,Jitesh Sharma,0,4,6,0,0,0.0,0,0,0
2364,15168,Vidarbha,10885,Akshay Karnewar,1,0,0,0,0,7.0,0,33,0
2364,15168,Vidarbha,10887,Rajneesh Gurbani,1,0,0,0,0,10.0,0,47,2
2364,15168,Vidarbha,10888,Akshay Wadkar,0,8,13,1,0,0.0,0,0,0
2364,15194,Vidarbha,574,S Badrinath,0,29,24,3,0,0.0,0,0,0
2364,15194,Vidarbha,1596,Faiz Fazal,0,12,25,1,0,0.0,0,0,0
2364,15194,Vidarbha,1858,Umesh Yadav,0,18,6,3,1,5.0,1,10,1
2364,15194,Vidarbha,2215,Ganesh Satish,0,140,134,12,4,0.0,0,0,0
2364,15194,Vidarbha,6286,Shrikant Wagh,1,0,0,0,0,5.0,1,22,0
2364,15194,Vidarbha,8949,Akshay Wakhare,1,0,0,0,0,9.0,2,29,3
2364,15194,Vidarbha,9002,Ravikumar Thakur,1,0,0,0,0,10.0,0,41,2
2364,15194,Vidarbha,9257,Ravi Jangid,0,1,2,0,0,10.0,1,48,1
2364,15194,Vidarbha,10214,Jitesh Sharma,0,105,108,10,1,0.0,0,0,0
2364,15194,Vidarbha,10885,Akshay Karnewar,0,1,2,0,0,8.4,1,12,2
2364,15194,Vidarbha,10888,Akshay Wadkar,1,0,0,0,0,0.0,0,0,0
2364,15204,Vidarbha,574,S Badrinath,1,0,0,0,0,0.0,0,0,0
2364,15204,Vidarbha,1596,Faiz Fazal,0,44,62,7,0,1.2,0,6,0
2364,15204,Vidarbha,1858,Umesh Yadav,1,0,0,0,0,5.3,1,16,3
2364,15204,Vidarbha,2215,Ganesh Satish,1,0,0,0,0,0.0,0,0,0
2364,15204,Vidarbha,6286,Shrikant Wagh,1,0,0,0,0,3.4,1,14,2
2364,15204,Vidarbha,8949,Akshay Wakhare,1,0,0,0,0,3.0,0,14,0
2364,15204,Vidarbha,9002,Ravikumar Thakur,1,0,0,0,0,7.0,1,23,1
2364,15204,Vidarbha,9257,Ravi Jangid,1,0,0,0,0,0.0,0,0,0
2364,15204,Vidarbha,10214,Jitesh Sharma,0,47,54,9,0,0.0,0,0,0
2364,15204,Vidarbha,10885,Akshay Karnewar,1,0,0,0,0,5.0,1,13,4
2364,15204,Vidarbha,10888,Akshay Wadkar,1,0,0,0,0,0.0,0,0,0
2364,15214,Vidarbha,574,S Badrinath,0,13,30,1,0,0.0,0,0,0
2364,15214,Vidarbha,1596,Faiz Fazal,0,17,25,2,0,0.0,0,0,0
2364,15214,Vidarbha,1858,Umesh Yadav,0,14,4,2,1,9.2,2,24,3
2364,15214,Vidarbha,2215,Ganesh Satish,0,71,100,7,0,0.0,0,0,0
2364,15214,Vidarbha,6286,Shrikant Wagh,1,0,0,0,0,6.0,0,27,0
2364,15214,Vidarbha,8949,Akshay Wakhare,1,0,0,0,0,6.0,0,21,0
2364,15214,Vidarbha,9002,Ravikumar Thakur,1,0,0,0,0,8.0,0,34,1
2364,15214,Vidarbha,9257,Ravi Jangid,0,12,9,2,0,9.0,1,29,2
2364,15214,Vidarbha,10214,Jitesh Sharma,0,39,85,6,0,0.0,0,0,0
2364,15214,Vidarbha,10885,Akshay Karnewar,0,3,9,0,0,10.0,1,43,4
2364,15214,Vidarbha,10888,Akshay Wadkar,0,9,20,0,0,0.0,0,0,0
2364,15219,Vidarbha,574,S Badrinath,0,7,21,0,0,0.0,0,0,0
2364,15219,Vidarbha,1596,Faiz Fazal,0,52,66,5,0,0.0,0,0,0
2364,15219,Vidarbha,2215,Ganesh Satish,0,47,66,2,1,0.0,0,0,0
2364,15219,Vidarbha,6286,Shrikant Wagh,0,7,16,1,0,5.0,0,37,0
2364,15219,Vidarbha,8949,Akshay Wakhare,0,4,6,0,0,10.0,1,30,3
2364,15219,Vidarbha,9002,Ravikumar Thakur,0,1,3,0,0,9.1,0,46,3
2364,15219,Vidarbha,9257,Ravi Jangid,0,0,1,0,0,10.0,0,33,0
2364,15219,Vidarbha,10214,Jitesh Sharma,0,51,66,5,1,0.0,0,0,0
2364,15219,Vidarbha,10885,Akshay Karnewar,0,10,12,0,1,10.0,1,28,2
2364,15219,Vidarbha,10887,Rajneesh Gurbani,0,2,14,0,0,4.0,1,20,0
2364,15219,Vidarbha,10888,Akshay Wadkar,0,13,17,0,0,0.0,0,0,0
2509,17174,Vidarbha,1596,Faiz Fazal,0,22,34,2,0,1.0,0,10,0
2509,17174,Vidarbha,2215,Ganesh Satish,0,42,55,2,1,0.0,0,0,0
2509,17174,Vidarbha,8273,Wankhade,0,4,12,0,0,0.0,0,0,0
2509,17174,Vidarbha,8949,Akshay Wakhare,0,9,9,2,0,10.0,0,41,1
2509,17174,Vidarbha,9002,Ravikumar Thakur,0,1,7,0,0,9.0,0,46,1
2509,17174,Vidarbha,10214,Jitesh Sharma,0,33,30,6,0,0.0,0,0,0
2509,17174,Vidarbha,10885,Akshay Karnewar,0,11,22,0,1,9.0,0,39,1
2509,17174,Vidarbha,10887,Rajneesh Gurbani,0,4,11,0,0,7.0,0,43,0
2509,17174,Vidarbha,12096,Yash Thakur,0,2,3,0,0,5.1,0,40,0
2509,17174,Vidarbha,12655,Rushabh Rathod,0,3,6,0,0,0.0,0,0,0
2509,17185,Vidarbha,574,S Badrinath,0,43,56,5,0,0.0,0,0,0
2509,17187,Vidarbha,1596,Faiz Fazal,0,58,104,4,0,0.0,0,0,0
2509,17187,Vidarbha,2215,Ganesh Satish,0,3,10,0,0,0.0,0,0,0
2509,17187,Vidarbha,8273,Wankhade,0,62,46,2,3,0.0,0,0,0
2509,17187,Vidarbha,8949,Akshay Wakhare,1,0,0,0,0,7.0,0,42,1
