pid,name,series_played,matches_played,NOI,total_runs,total_ballfaced,total_fours,total_sixes,total_oers,total_maiden_overs,total_runs_given,total_wickets_taken
3243,M S Dhoni,54,222,54,7463,8351,590,168,0,0,0,0
2191,Abdul Razzaq,34,121,30,2679,2967,214,73,839.8,46,4056,111
3644,R A Jadeja,30,100,27,1488,1701,118,28,900.8,33,4436,120
2129,Mohammad Yousuf,40,144,26,5330,6811,438,57,0,0,0,0
2879,Shoaib Malik,55,188,26,4983,5940,386,86,859.0,26,4137,93
1169,Javed Miandad,34,93,25,3104,4366,195,27,37,1,184,2
1794,Inzamam-ul-Haq,45,157,24,4908,6592,425,55,8.4,1,54,3
2138,Harbhajan Singh,31,120,23,761,925,55,24,1100.3,40,4931,141
3600,V Kohli,41,164,23,8628,9088,817,98,75.2,1,471,4
2262,Misbah-ul-Haq,32,111,21,3395,4710,220,48,4,0,30,0
1959,Waqar Younis,29,89,20,198,340,12,3,711.1,50,3340,136
109,M Azharuddin,35,130,20,3714,4880,264,34,20.3,0,149,2
928,Imran Khan,24,67,19,1242,1642,74,15,529.3,59,2164,71
3591,Saeed Ajmal,25,86,19,246,437,16,0,772.1,40,3240,132
2245,Z Khan,26,106,19,518,761,41,18,901.9,66,4595,132
1070,Saleem Malik,37,116,19,3040,3906,233,15,198.6,6,976,39
3287,S K Raina,36,142,18,3649,3970,300,76,262.4,2,1341,29
2949,Yuvraj Singh,41,160,18,5060,5702,555,97,453.5,6,2469,57
3474,R G Sharma,41,139,18,5903,6434,531,180,65.5,2,321,5
791,C L Hooper,11,45,17,1358,1521,101,21,295.8,12,1386,32
3821,Mohammad Irfan,15,50,17,42,114,5,0,439.7,26,2195,69
2060,R Dravid,38,154,17,5278,7172,471,27,12,1,68,3
2124,Shoaib Akhtar,28,77,16,182,248,15,3,627.2,37,3201,117
962,A Kumble,30,93,16,298,504,21,2,826.6,34,3624,106
443,Kapil Dev,32,104,16,1745,1837,139,38,841.1,100,3278,109
3210,K D Karthik,19,49,15,985,1245,89,10,0,0,0,0
3513,Sarfaraz Ahmed,25,82,15,1731,1899,134,9,2,0,15,0
29,Wasim Akram,39,118,15,1141,1232,78,46,979.4,70,3961,164
1735,S R Tendulkar,53,194,15,7148,8259,859,72,557.5,10,2996,63
1570,R J Shastri,22,72,14,1859,2754,144,14,501.2,25,2336,59
1665,J Srinath,23,90,14,257,323,23,5,797.2,60,3553,139
931,Moin Khan,24,81,14,1099,1343,85,21,0,0,0,0
