series_code,match_code,pcid,pcountry,pid,name,notout,runs,ballfaced,fours,sixes,overs,maiden_overs,runs_given,wickets_taken
191,1892,7,Pakistan,-7,Extras,0,11,0,0,0,0,0,0,0
191,1892,7,Pakistan,29,Wasim Akram,1,13,24,1,0,8.3,0,46,1
191,1892,7,Pakistan,986,Rashid Latif,0,47,58,4,0,0,0,0,0
191,1892,7,Pakistan,1794,Inzamam-ul-Haq,0,1,20,0,0,0,0,0,0
191,1892,7,Pakistan,1959,Waqar Younis,0,0,0,0,0,8,1,37,1
191,1892,7,Pakistan,2032,Saqlain Mushtaq,0,0,0,0,0,10,0,28,2
191,1892,7,Pakistan,2124,Shoaib Akhtar,0,0,0,0,0,8,1,26,1
191,1892,7,Pakistan,2129,Mohammad Yousuf,0,39,77,1,0,0,0,0,0
191,1892,7,Pakistan,2152,Shahid Afridi,0,35,51,2,0,7,1,25,1
191,1892,7,Pakistan,2191,Abdul Razzaq,1,46,41,5,1,7,0,24,2
191,1892,7,Pakistan,2211,Younis Khan,0,1,6,0,0,0,0,0,0
191,1892,7,Pakistan,2994,Naved Latif,0,0,2,0,0,0,0,0,0
191,1892,10,West Indies,-10,Extras,0,15,0,0,0,0,0,0,0
191,1892,10,West Indies,791,C L Hooper,0,45,81,3,0,10,1,44,2
191,1892,10,West Indies,1979,S Chanderpaul,0,0,2,0,0,0,0,0,0
191,1892,10,West Indies,2007,C E Cuffy,0,2,5,0,0,10,1,31,1
191,1892,10,West Indies,2097,M V Dillon,0,1,9,0,0,9.1,1,32,1
191,1892,10,West Indies,2154,R D Jacobs,0,25,56,0,0,0,0,0,0
191,1892,10,West Indies,2162,D Ganga,0,15,21,2,0,0,0,0,0
191,1892,10,West Indies,2180,C D Collymore,1,6,14,0,0,9,1,37,0
191,1892,10,West Indies,2216,W W Hinds,0,14,20,2,0,0,0,0,0
191,1892,10,West Indies,2217,C H Gayle,0,50,53,10,0,0,0,0,0
191,1892,10,West Indies,3004,R O Hinds,0,8,17,0,0,3,0,16,0
191,1892,10,West Indies,3005,D Brown,0,9,17,0,1,5,0,31,1
191,1893,7,Pakistan,-7,Extras,0,11,0,0,0,0,0,0,0
191,1893,7,Pakistan,986,Rashid Latif,0,5,5,0,0,0,0,0,0
191,1893,7,Pakistan,1794,Inzamam-ul-Haq,0,3,4,0,0,0,0,0,0
191,1893,7,Pakistan,1959,Waqar Younis,0,3,4,0,0,7,0,40,2
191,1893,7,Pakistan,2124,Shoaib Akhtar,0,1,3,0,0,7,0,49,2
191,1893,7,Pakistan,2129,Mohammad Yousuf,0,1,8,0,0,0,0,0,0
191,1893,7,Pakistan,2152,Shahid Afridi,0,4,8,1,0,3,0,13,0
191,1893,7,Pakistan,2191,Abdul Razzaq,0,30,26,0,2,7,1,18,2
191,1893,7,Pakistan,2211,Younis Khan,0,18,38,2,0,0,0,0,0
191,1893,7,Pakistan,2264,Mohammad Sami,0,0,2,0,0,7.4,0,44,4
191,1893,7,Pakistan,2879,Shoaib Malik,1,111,130,9,1,3,0,9,0
191,1893,7,Pakistan,2994,Naved Latif,0,45,70,5,1,0,0,0,0
191,1893,10,West Indies,-10,Extras,0,26,0,0,0,0,0,0,0
191,1893,10,West Indies,791,C L Hooper,0,7,6,1,0,10,0,47,1
191,1893,10,West Indies,1979,S Chanderpaul,0,22,46,2,0,0,0,0,0
191,1893,10,West Indies,2007,C E Cuffy,0,0,1,0,0,10,4,35,2
191,1893,10,West Indies,2097,M V Dillon,1,0,0,0,0,10,1,57,2
191,1893,10,West Indies,2154,R D Jacobs,0,1,5,0,0,0,0,0,0
191,1893,10,West Indies,2162,D Ganga,0,0,1,0,0,0,0,0,0
191,1893,10,West Indies,2180,C D Collymore,0,0,1,0,0,10,1,51,1
191,1893,10,West Indies,2216,W W Hinds,0,29,57,2,0,0,0,0,0
191,1893,10,West Indies,2217,C H Gayle,0,62,46,8,3,3,0,10,0
191,1893,10,West Indies,3004,R O Hinds,0,18,26,2,0,6,0,32,2
191,1893,10,West Indies,3012,R S Morton,0,16,29,2,0,0,0,0,0
191,1895,7,Pakistan,-7,Extras,0,7,0,0,0,0,0,0,0
191,1895,7,Pakistan,986,Rashid Latif,0,37,42,3,1,0,0,0,0
191,1895,7,Pakistan,1794,Inzamam-ul-Haq,0,21,31,2,0,0,0,0,0
191,1895,7,Pakistan,1959,Waqar Younis,0,2,7,0,0,8,1,47,2
191,1895,7,Pakistan,2124,Shoaib Akhtar,0,0,4,0,0,10,0,45,1
191,1895,7,Pakistan,2129,Mohammad Yousuf,0,20,23,3,0,0,0,0,0
